"lang"
{
"Language"	"korean"
"SteamAddOn_WaitingAbortText"	"데이터를 기다리는 도중 %s1 님이 게임을 종료했습니다."
"[english]SteamAddOn_WaitingAbortText"	"While waiting for data, %s1 has ended."
"SteamAddOn_LastMoveMade"	"마지막으로 수신된 턴: %s1(%s2)"
"[english]SteamAddOn_LastMoveMade"	"Last move received: %s1 at %s2"
"SteamAddOn_InvitingWaitingResponse"	"%s1 님을 초대했습니다. 응답을 기다리고 있습니다..."
"[english]SteamAddOn_InvitingWaitingResponse"	"You have invited %s1, waiting on response...\n"
"SteamAddOn_AskingHostPermission"	"호스트에 %s1 님 초대에 대한 허가를 요청하고 있습니다."
"[english]SteamAddOn_AskingHostPermission"	"You are asking the host for permission to invite %s1.\n"
"SteamAddOn_InvitingToGame"	"%s1 님을 게임으로 초대하고 있습니다."
"[english]SteamAddOn_InvitingToGame"	"Inviting %s1 to game.\n"
"SteamAddOn_PlayerJoined"	"%s1 님이 참가했습니다."
"[english]SteamAddOn_PlayerJoined"	"%s1 has joined.\n"
"SteamAddOn_PlayerDeclinedInvite"	"%s1 님이 초대를 거부했습니다."
"[english]SteamAddOn_PlayerDeclinedInvite"	"%s1 has declined the invitation.\n"
"SteamAddOn_PlayerInvitePlayerWaitingResponse"	"%s1 님이 %s2 님을 초대했습니다. 응답을 기다리고 있습니다..."
"[english]SteamAddOn_PlayerInvitePlayerWaitingResponse"	"%s1 has invited %s2, waiting on response...\n"
"SteamAddOn_InviteQuitTitle"	"%s1 - 게임 종료"
"[english]SteamAddOn_InviteQuitTitle"	"%s1 - Game Ended"
"SteamAddOn_InviteQuitText"	"플레이어의 응답을 기다리던 도중 게임이 종료되었습니다."
"[english]SteamAddOn_InviteQuitText"	"The game has ended while waiting for your response."
"SteamAddOn_HostCancelInviteTitle"	"%s1 - 초대 취소"
"[english]SteamAddOn_HostCancelInviteTitle"	"%s1 - Invite Cancelled"
"SteamAddOn_HostCancelInviteText"	"호스트에 의해 초대가 취소되었습니다."
"[english]SteamAddOn_HostCancelInviteText"	"The host has cancelled your invitation."
"SteamAddOn_WaitingStartInfo_Title"	"%s1 - 게임 정보를 기다리는 중"
"[english]SteamAddOn_WaitingStartInfo_Title"	"%s1 - Waiting for Game Information"
"SteamAddOn_WaitingStartInfo_Text"	"호스트로부터 게임 시작 정보를 기다리고 있습니다..."
"[english]SteamAddOn_WaitingStartInfo_Text"	"Waiting for starting game information from host..."
"SteamAddOn_UserInvited"	"%s1 님이 초대했습니다..."
"[english]SteamAddOn_UserInvited"	"%s1 Invited..."
"SteamAddOn_HostQuitTitle"	"%s1 - 호스트 종료"
"[english]SteamAddOn_HostQuitTitle"	"%s1 - Host Quit"
"SteamAddOn_HostQuitText"	"호스트에 의해 %s1 종료가 되었습니다."
"[english]SteamAddOn_HostQuitText"	"Host has quit %s1."
"SteamAddOn_GameOver_TeamWin"	"플레이어 팀이 %s1에서 상대 팀을 이겼습니다.."
"[english]SteamAddOn_GameOver_TeamWin"	"Your team has beaten the other team in %s1."
"SteamAddOn_GameOver_TeamLoss"	"상대 팀이 %s1에서 플레이어 팀을 이겼습니다."
"[english]SteamAddOn_GameOver_TeamLoss"	"The other team has beaten your team in %s1."
"SteamAddOn_Invite"	"초대"
"[english]SteamAddOn_Invite"	"Invite"
"SteamAddOn_Cancel"	"취소"
"[english]SteamAddOn_Cancel"	"Cancel"
"SteamAddOn_Points"	"포인트:"
"[english]SteamAddOn_Points"	"Points:"
"SteamAddOn_Score"	"점수:"
"[english]SteamAddOn_Score"	"Score:"
"SteamAddOn_North"	"북:"
"[english]SteamAddOn_North"	"North:"
"SteamAddOn_South"	"남:"
"[english]SteamAddOn_South"	"South:"
"SteamAddOn_West"	"서:"
"[english]SteamAddOn_West"	"West:"
"SteamAddOn_East"	"동:"
"[english]SteamAddOn_East"	"East:"
"SteamAddOn_LastTrick"	"마지막 트릭"
"[english]SteamAddOn_LastTrick"	"Last Trick"
"SteamAddOn_CurrentTrick"	"현재 트릭"
"[english]SteamAddOn_CurrentTrick"	"Current Trick"
"SteamAddOn_ShowScore"	"점수 표시"
"[english]SteamAddOn_ShowScore"	"Show Score"
"SteamAddOn_HideScore"	"점수 숨김"
"[english]SteamAddOn_HideScore"	"Hide Score"
"SteamAddOn_StartGame"	"게임 시작"
"[english]SteamAddOn_StartGame"	"Start Game"
"SteamAddOn_UserLeftGameTitle"	"%s1 - 사용자 퇴장"
"[english]SteamAddOn_UserLeftGameTitle"	"%s1 - User Left Game"
"SteamAddOn_UserLeftGameText"	"%s1 님이 게임에서 나갔습니다."
"[english]SteamAddOn_UserLeftGameText"	"%s1 has left the game.\n"
"SteamAddOn_MatchName"	"게임 이름: %s1"
"[english]SteamAddOn_MatchName"	"Match Name: %s1"
"SteamAddOn_WaitingForDeal"	"호스트가 패를 돌리고 있습니다.\n"
"[english]SteamAddOn_WaitingForDeal"	"We are waiting for host to deal out the hand.\n"
"SteamAddOn_DealNextHand"	"다음 패 돌리기"
"[english]SteamAddOn_DealNextHand"	"Deal Next Hand"
"SteamAddOn_RoundCompleted"	"라운드가 종료되었습니다."
"[english]SteamAddOn_RoundCompleted"	"Round Completed."
"SteamAddOn_DetailsAddendum"	"%s1\n세부 정보: %s2"
"[english]SteamAddOn_DetailsAddendum"	"%s1\nDetails: %s2"
"SteamAddOn_SteamLoading"	"%s1 - 불러오는 중"
"[english]SteamAddOn_SteamLoading"	"%s1 - Loading"
"SteamAddOn_UpdatingAddOnsFiles"	"%s1 파일을 업데이트하고 있습니다..."
"[english]SteamAddOn_UpdatingAddOnsFiles"	"Updating %s1 files..."
"SteamAddOn_OtherPlayerUpdating"	"다른 플레이어가 게임을 업데이트해야 합니다..."
"[english]SteamAddOn_OtherPlayerUpdating"	"Other player needs to update game..."
"SteamAddOn_PlayerLoggedOff"	"%s1 님이 로그오프했습니다."
"[english]SteamAddOn_PlayerLoggedOff"	"%s1 has logged off.\n"
"SteamAddOn_HostCancelledDuringAccept"	"초대에 응답하는 도중 호스트에 의해 초대가 취소되었습니다.\n"
"[english]SteamAddOn_HostCancelledDuringAccept"	"Host cancelled our invitation as we were accepting.\n"
"SteamAddOn_CancellingInvitation"	"%s1 님에 대한 초대를 취소합니다."
"[english]SteamAddOn_CancellingInvitation"	"Cancelling invitation to %s1.\n"
"SteamAddOn_HostCancelOtherPlayer"	"호스트(%s1)에 의해 %s2 초대가 취소되었습니다.\n"
"[english]SteamAddOn_HostCancelOtherPlayer"	"Host (%s1) cancel invitation to %s2.\n"
"SteamAddOn_PlayerAcceptedInvite"	"%s1 님이 초대를 받아들였습니다. 업데이트를 확인하고 있습니다..."
"[english]SteamAddOn_PlayerAcceptedInvite"	"%s1 has accepted the invitation and is now checking for updates...\n"
"SteamAddOn_WaitingQuit"	"%s1 - 끝내기"
"[english]SteamAddOn_WaitingQuit"	"%s1 - Quit"
"SteamAddOn_HostInviteOffline"	"%s1 님이 오프라인이 되었습니다. %s2 초대 요청을 종료합니다."
"[english]SteamAddOn_HostInviteOffline"	"%s1 has gone offline, ending invite request to %s2"
"SteamAddOn_HostRejoinOffline"	"%s1 님이 오프라인이 되었습니다. %s2 재참가 요청을 종료합니다."
"[english]SteamAddOn_HostRejoinOffline"	"%s1 has gone offline, ending rejoin request to %s2"
"SteamAddOn_HostInviteQuit"	"%s1 님이 게임을 끝냈습니다. %s2 초대를 종료합니다."
"[english]SteamAddOn_HostInviteQuit"	"%s1 has quit, ending invite to %s2"
"SteamAddOn_CheckingForUpdates"	"업데이트 확인 중..."
"[english]SteamAddOn_CheckingForUpdates"	"Checking for updates..."
"SteamAddOn_SystemMessage"	"%s1 - 시스템 메시지"
"[english]SteamAddOn_SystemMessage"	"%s1 - System Message"
}
}
