"lang" 
{ 
"Language" "greek" 
"Tokens" 
{ 
"GameUI_ReverseMouse" 		"Αντιστροφή ποντικιού"
"GameUI_OK"			"OK"
"GameUI_AdvancedEllipsis"	"Προχωρημένες..."
"GameUI_ResetStats"		"Μηδενισμός στατιστικών"
"GameUI_AdvancedNoEllipsis"	"Προχωρημένες"
"GameUI_PlayerName"		"Όνομα παίκτη"
"GameUI_PrimaryColor"		"Βασικό χρώμα"
"GameUI_SecondaryColor"		"Συμπληρωματικό χρώμα"
"GameUI_HighModels"		"Χρήση μοντέλων υψηλής ποιότητας"
"GameUI_PlayerModel"		"Μοντέλο παίκτη"
"GameUI_SpraypaintImage"	"Εικόνα σπρέι"
"GameUI_SpraypaintServerNote"	"Οι αλλαγές στην εικόνα σπρέι σας πραγματοποιούνται όταν συνδεθείτε σε έναν διακομιστή."
"GameUI_NewGame"		"ΝΕΟ ΠΑΙΧΝΙΔΙ"
"GameUI_NewGameHelpText"	"Επιλέξτε ένα επίπεδο δυσκολίας ή\nτο δωμάτιο εκμάθησης και πατήστε «Εκκίνηση»."
"GameUI_TrainingRoom"		"ΔΩΜΑΤΙΟ ΕΚΜΑΘΗΣΗΣ"
"GameUI_Easy"			"Χαμηλή"
"GameUI_Medium"			"Μεσαία"
"GameUI_Hard"			"Υψηλή"
"GameUI_SelectSkill"		"ΔΥΣΚΟΛΙΑ ΠΑΙΧΝΙΔΙΟΥ"
"GameUI_StartNewGame"		"Νέο παιχνίδι"
"GameUI_Next"			"Μπροστά >"
"GameUI_Prev"			"< Πίσω"
"GameUI_Play"			"Εκκίνηση"
"GameUI_EnableEAX"		"Ενεργοποίηση υποστήριξης EAX"
"GameUI_EnableA3D"		"Ενεργοποίηση υποστήριξης A3D"
"GameUI_SoundEffectVolume"	"Ένταση παιχνιδιού"
"GameUI_HEVSuitVolume"		"Ένταση ήχου στολής επικίνδυνου περιβάλλοντος"
"GameUI_MP3Volume"		"Ένταση MP3 *"
"GameUI_MusicVolume"		"Ένταση μουσικής"
"GameUI_SoundQuality"		"Ποιότητα ήχου"
"GameUI_Ultra"			"Πολύ υψηλή"
"GameUI_High"			"Υψηλή"
"GameUI_Low"			"Χαμηλή"
"GameUI_UseDefaults"		"Προεπιλογές"
"GameUI_SetNewKey"		"Επεξεργασία"
"GameUI_ClearKey"		"Εκκαθάριση"
"GameUI_SetNewButton"		"Πατήστε ένα κουμπί…"
"GameUI_ClearButton"		"Εκκαθάριση"
"GameUI_DefaultButtons"		"Προεπιλογές"
"GameUI_Action"			"Ενέργεια"
"GameUI_Toggle"			"Εναλλαγή"
"GameUI_Hold"			"Κράτημα"
"GameUI_KeyButton"		"ΠΛΗΚΤΡΟ/ΚΟΥΜΠΙ"
"GameUI_Alternate"		"ΕΝΑΛΛΑΚΤΙΚΟ"
"GameUI_Windowed"		"Εκτέλεση σε παράθυρο"
"GameUI_Renderer"		"Φωτοσκίαση"
"GameUI_Software"		"Λογισμικό"
"GameUI_OpenGL"			"OpenGL"
"GameUI_D3D"			"D3D"
"GameUI_Brightness"		"Φωτεινότητα"
"GameUI_Gamma"			"Γάμμα"
"GameUI_Resolution"		"Ανάλυση"
"GameUI_VideoRestart"		"Σημείωση: η αλλαγή των επιλογών γραφικών μπορεί να προκαλέσει έξοδο από το παιχνίδι και επανεκκίνηση."
"GameUI_EnableVoice"		"Ενεργοποίηση φωνής"
"GameUI_BoostMicrophone"	"ΕΝΙΣΧΥΣΗ ΜΙΚΡΟΦΩΝΟΥ"
"GameUI_MicrophoneVolume"	"Ένταση μικροφώνου"
"GameUI_ReceiveVolume"		"Ένταση λήψης"
"GameUI_TestMicrophone"		"ΕΛΕΓΧΟΣ ΜΙΚΡΟΦΩΝΟΥ"
"GameUI_StopTestMicrophone"	"Διακοπή ελέγχου"
"GameUI_SteamVoice"			"Η φωνητική επικοινωνία Steam χρησιμοποιείται από προεπιλογή, αλλά κάποιοι διακομιστές μπορεί να χρησιμοποιούν τις παλιές ρυθμίσεις παρακάτω."
"GameUI_SteamVoiceSettings"	"Ρυθμίσεις φωνητικής επικοινωνίας Steam"
"GameUI_VoiceReceiveVolume"	"Ένταση λήψης φωνής *"
"GameUI_VoiceTransmitVolume"	"Ένταση μετάδοσης φωνής *"
"GameUI_SaveGame"		"ΑΠΟΘΗΚΕΥΣΗ"
"GameUI_SaveGameHelp"		"Επιλέξτε «Νέα αποθήκευση» στη λίστα για να δημιουργήσετε ένα νέο αρχείο ή επιλέξτε\nένα αποθηκευμένο παιχνίδι για να το αντικαταστήσετε."
"GameUI_Delete"			"Διαγραφή"
"GameUI_Quit"			"Έξοδος"
"GameUI_SteamPassword"		"Συνθηματικό Steam"
"GameUI_CreateServer"		"ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΚΟΜΙΣΤΗ"
"GameUI_Start"			"Εκκίνηση"
"GameUI_Console"		"Κονσόλα"
"GameUI_Submit"			"Υποβολή"
"GameUI_Options"		"ΕΠΙΛΟΓΕΣ"
"GameUI_Keyboard"		"Πληκτρολόγιο"
"GameUI_Mouse"			"Ποντίκι"
"GameUI_Audio"			"Ήχος"
"GameUI_Video"			"Γραφικά"
"GameUI_Voice"			"Φωνή"
"GameUI_Advanced"		"Κλείδωμα"
"GameUI_Server"			"Διακομιστής"
"GameUI_Game"			"Παιχνίδι" [$WIN32]
"GameUI_SavedGame"		"Αποθηκευμένο παιχνίδι"
"GameUI_ElapsedTime"		"Διανυμένος χρόνος"
"GameUI_TimeStamp"		"Χρονική σήμανση"
"GameUI_KeyboardSettings"	"Ρυθμίσεις πληκτρολογίου"
"GameUI_KeyboardSettingsText"	"Επαναφορά των προεπιλεγμένων πλήκτρων;"
"GameUI_ControllerSettingsText"	"Επαναφορά των προεπιλεγμένων επιλογών χειριστηρίου;"
"GameUI_GameMenu_NewGame"	"ΝΕΟ ΠΑΙΧΝΙΔΙ"
"GameUI_GameMenu_PlayDemo"	"ΑΝΑΠΑΡΑΓΩΓΗ"
"GameUI_GameMenu_BonusMaps"	"ΕΠΙΠΛΕΟΝ ΧΑΡΤΕΣ"
"GameUI_GameMenu_LoadGame"	"ΦΟΡΤΩΣΗ"
"GameUI_GameMenu_SaveGame"	"ΑΠΟΘΗΚΕΥΣΗ"
"GameUI_GameMenu_Multiplayer"	"ΠΟΛΛΩΝ ΠΑΙΚΤΩΝ"
"GameUI_GameMenu_FindServers"	"ΕΥΡΕΣΗ ΔΙΑΚΟΜΙΣΤΩΝ"
"GameUI_GameMenu_Friends"	"ΦΙΛΟΙ"
"GameUI_GameMenu_Customize"	"ΠΡΟΣΑΡΜΟΓΗ"
"GameUI_GameMenu_CreateServer"	"ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΚΟΜΙΣΤΗ"
"GameUI_GameMenu_Options"	"ΕΠΙΛΟΓΕΣ"
"GameUI_GameMenu_Achievements" "ΕΠΙΤΕΥΓΜΑΤΑ"
"GameUI_GameMenu_PlayerStats"	"ΣΤΑΤΙΣΤΙΚΑ ΠΑΙΚΤΗ"
"GameUI_GameMenu_ReplayDemos"	"ΕΠΑΝΑΛΗΨΕΙΣ"
"GameUI_GameMenu_Quit"		"ΕΞΟΔΟΣ"
"GameUI_GameMenu_ActivateVR" "ΕΝΕΡΓΟΠΟΙΗΣΗ ΕΙΚΟΝΙΚΗΣ ΠΡΑΓΜΑΤΙΚΟΤΗΤΑΣ"
"GameUI_GameMenu_DeactivateVR" "ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ ΕΙΚΟΝΙΚΗΣ ΠΡΑΓΜΑΤΙΚΟΤΗΤΑΣ"
"GameUI_PasswordsDontMatch"	"Τα συνθηματικά δεν ταιριάζουν!"
"GameUI_MustEnterPassword"	"Πρέπει να εισαγάγετε ένα συνθηματικό"
"GameUI_IncorrectPassword"	"Λάθος συνθηματικό"
"GameUI_CantDisableContentCtrl"	"Η απενεργοποίηση δεν είναι δυνατή, διότι δεν έχει οριστεί έλεγχος περιεχομένου"
"GameUI_Loading"		"ΦΟΡΤΩΣΗ…"
"GameUI_LoadingGame"		"ΦΟΡΤΩΣΗ"
"GameUI_Disconnected"		"Αποσύνδεση"
"GameUI_ConnectionFailed" 	"Αδυναμία σύνδεσης στον διακομιστή."
"GameUI_DisconnectedFrom" "Αποσυνδεθήκατε από τον διακομιστή."
"GameUI_DisconnectedFromServerExtended" "Αποσυνδεθήκατε από τον διακομιστή.\nΑιτία: %s1"
"GameUI_EstablishingConnection" "Πραγματοποίηση σύνδεσης στον διακομιστή…"
"GameUI_ParseServerInfo"	"Ανάλυση πληροφοριών διακομιστή…"
"GameUI_CheckCRCs"		"Επαλήθευση πόρων παιχνιδιού…"
"GameUI_PrecacheResources"	"Φόρτωση πόρων παιχνιδιού…"
"GameUI_ParseBaseline"		"Ανάλυση πληροφοριών παιχνιδιού…"
"GameUI_StartingServer"	"Εκκίνηση τοπικού διακομιστή…"
"GameUI_DisplayMode"		"Display Mode"
"GameUI_Fullscreen"		"Πλήρης οθόνη"
"GameUI_AspectRatio"		"Αναλογία οθόνης"
"GameUI_AspectNormal"		"Κανονική (4:3)"
"GameUI_AspectWide16x9"		"Ευρεία (16:9)"
"GameUI_AspectWide16x10"	"Ευρεία (16:10)"
"GameUI_HUDAspectRatio"		"Αναλογία οθόνης HUD"
"GameUI_AspectWide"		"Ευρεία"
"GameUI_VRMode"			"Λειτουργία εικονικής πραγματικότητας"
"GameUI_VRModeRelaunchMsg"	"Η ενεργοποίηση ή απενεργοποίηση της λειτουργίας εικονικής πραγματικότητας δεν θα τεθεί σε ισχύ μέχρι να επανεκκινήσετε το παιχνίδι."
"GameUI_WindowedTooltip"	"Όταν η λειτουργία εικονικής πραγματικότητας είναι ενεργοποιημένη, το παιχνίδι θα ξεκινήσει σε παράθυρο στην κύρια οθόνη. Επιλέξτε «Ενεργοποίηση εικονικής πραγματικότητας» για να γίνει αλλαγή σε εικονική πραγματικότητα."
"GameUI_NoVRTooltip"	"Δεν εντοπίστηκε οθόνη. Συνδέστε τη συμβατή σε εικονική πραγματικότητα οθόνη σας και επανεκκινήστε το παιχνίδι για να ενεργοποιήσετε τη λειτουργία εικονικής πραγματικότητας."
"GameUI_CDKey"			"Κλειδί CD"
"GameUI_EnterCDKey"		"Εισααγάγετε το κλειδί CD που είναι\nτυπωμένο στη θήκη CD του παιχνιδιού."
"GameUI_LoadingDialog_ContentHosting"    "Φιλοξενία περιεχομένου από:"
"GameUI_ColorSliders" 		"Χρώματα"
"GameUI_ColorQuality" 		"Ποιότητα χρωμάτων"

"GameUI_CDKey_Invalid_Text"	"Το κλειδί CD που εισαγάγατε δεν είναι έγκυρο."
"GameUI_CDKey_Invalid_Title"	"ΜΗ ΕΓΚΥΡΟ ΚΛΕΙΔΙ CD"
"GameUI_CDKey_TooManyTries"	"Έγινε εισαγωγή πολλών μη έγκυρων κλειδιών CD. Γίνεται έξοδος…"
"GameUI_GameMenu_ResumeGame"	"ΣΥΝΕΧΙΣΗ ΠΑΙΧΝΙΔΙΟΥ"
"GameUI_GameMenu_Disconnect"	"ΑΠΟΣΥΝΔΕΣΗ"
"GameUI_GameMenu_ChangeGame"	"ΑΛΛΑΓΗ ΠΑΙΧΝΙΔΙΟΥ"
"GameUI_GameMenu_PlayerList"	"ΣΙΓΑΣΗ ΠΑΙΚΤΩΝ"
"GameUI_GameMenu_ResumeReplay"	"ΣΥΝΕΧΙΣΗ ΕΠΑΝΑΛΗΨΗΣ"
"GameUI_GameMenu_ExitReplay"	"ΠΙΣΩ"
"GameUI_GameMenu_MainMenu"		"ΚΥΡΙΟ ΜΕΝΟΥ"
"GameUI_GameMenu_Training" 		"ΕΚΜΑΘΗΣΗ"
"GameUI_GameMenu_OfflinePractice"		"ΕΞΑΣΚΗΣΗ ΕΚΤΟΣ ΣΥΝΔΕΣΗΣ"

"GameUI_OutOfDate_Title"	"ΤΟ ΠΑΙΧΝΙΔΙ ΔΕΝ ΕΙΝΑΙ ΕΝΗΜΕΡΩΜΕΝΟ"
"GameUI_OutOfDate_URL"		"http://www.steampowered.com/autoupdate"
"GameUI_OutOfDate_Msg"		"Το παιχνίδι σας δεν είναι ενημερωμένο.\nΠατήστε OK για να επισκεφθείτε την ιστοσελίδα της Valve και να πραγματοποιήσετε λήψη των νεότερων ενημερώσεων."
"GameUI_QuitConfirmationTitle"  "ΕΞΟΔΟΣ ΠΑΙΧΝΙΔΙΟΥ"
"GameUI_QuitConfirmationText"   "Θέλετε να σταματήσετε να παίζετε τώρα;"
"GameUI_Disconnect"			"Αποσύνδεση"
"GameUI_DisconnectConfirmationText"	"Θέλετε σίγουρα να αποχωρήσετε από το παιχνίδι;"
"GameUI_DisconnectHostConfirmationText"	"Η αποσύνδεση θα επηρεάσει όλους τους παίκτες. Θέλετε σίγουρα να αποχωρήσετε από το παιχνίδι;"	
"GameUI_Disconnect_TooManyCommands" "Στάλθηκαν πάρα πολλές εντολές στον διακομιστή."

"GameUI_ConfirmResetStatsTitle"	"Μηδενισμός στατιστικών"
"GameUI_ConfirmResetStatsText"	"Θέλετε σίγουρα να μηδενίσετε τα στατιστικά σας; Θα διατηρήσετε τα επιτεύγματα που έχετε ήδη ξεκλειδώσει, αλλά η πρόοδος για τα υπόλοιπα επιτεύγματα θα χαθεί."
"GameUI_Reset"			"Μηδενισμός στατιστικών"
						
"GameUI_ChangeGame"		"Αλλαγή παιχνιδιού"
"GameUI_NoOtherGamesAvailable"  "Δεν υπάρχουν άλλα διαθέσιμα παιχνίδια."
"GameUI_ForceGameRestart"	"Η αλλαγή παιχνιδιού θα προκαλέσει επανεκκίνηση."
"GameUI_Miles_Voice"		"Χρησιμοποιεί σύστημα ήχου Miles. Copyright © 1991-2001 από RAD Game Tools, Inc."
"GameUI_Miles_Audio"		"Η αναπαραγωγή MPEG Layer-3 υποστηρίζεται με το σύστημα ήχου Miles από RAD Game Tools, Inc. Η τεχνολογία συμπίεσης ήχου MPEG Layer-3 είναι εγκεκριμένη από Fraunhofer IIS & THOMSON multimedia."
"GameUI_Bink"               "Χρησιμοποιεί Bink Video. Copyright © 1997-2007 από RAD Game Tools, Inc."
"GameUI_MuteIngameVoice"	"Σίγαση φωνής"
"GameUI_UnmuteIngameVoice"	"Κατάργηση σίγασης"
"GameUI_PlayerListDialogTitle"	"ΠΑΙΚΤΕΣ – %server%"
"GameUI_FriendsName"		"Ονόματα φίλων"
"GameUI_Properties"		"Ιδιότητες"
"GameUI_ReportPlayer"		"Αναφορά παίκτη"
"GameUI_ReportPlayerCaps"	"ΑΝΑΦΟΡΑ ΠΑΙΚΤΗ"
"GameUI_ReportPlayerReason"	"Λόγος:"
"GameUI_ReportPlayer_Choose"	"--Επιλέξτε λόγο--"
"GameUI_ReportPlayer_Cheating"	"Κλέψιμο"
"GameUI_ReportPlayer_Idle"		"Αδράνεια"
"GameUI_ReportPlayer_Harassment""Παρενόχληση"
"GameUI_ReportPlayer_Griefing"	"Ενοχλητική συμπεριφορά"

"GameUI_AddFriendTitle"		"ΦΙΛΟΙ – ΠΡΟΣΘΗΚΗ ΦΙΛΟΥ"
"GameUI_FriendAddedToList"	"Ο χρήστης %name% προστέθηκε στη λίστα φίλων σας.\nΣημειώστε ότι δεν θα εμφανιστεί ως «Σε σύνδεση» μέχρι να αποδεχθεί το αίτημα φιλίας σας."
"GameUI_AddFriendFailed"	"Ο χρήστης %name% δεν προστέθηκε στη λίστα σας.\nΕίτε παρουσιάστηκε ένα σφάλμα σύνδεσης ή ο χρήστης δεν έχει τη λειτουργία των φίλων."
"GameUI_NoOtherPlayersInGame"	"Δεν υπάρχουν άλλοι παίκτες στο παιχνίδι."
"GameUI_QuickSave"		"ΓΡΗΓΟΡΗ ΑΠΟΘΗΚΕΥΣΗ"
"GameUI_AutoSave"		"ΑΥΤΟΜΑΤΗ ΑΠΟΘΗΚΕΥΣΗ"
"GameUI_AutoSaveLabel"		"ΑΥΤΟΜΑΤΗ:"
"GameUI_UserSaveLabel"		"ΧΡΗΣΤΗΣ:"
"GameUI_Type"			"Τύπος"
"GameUI_ServerName"		"Όνομα διακομιστή"
"GameUI_MaxPlayers"		"Μέγιστος αριθμός παικτών:"
"GameUI_Password"		"Συνθηματικό"

"GameUI_DARK"			"ΣΚΟΤΕΙΝΟ"
"GameUI_LIGHT"			"ΦΩΤΕΙΝΟ"
"GameUI_VerifyingResources"	 "Επαλήθευση πόρων…"
"GameUI_VerifyingAndDownloading" "Επαλήθευση και λήψη πόρων…"
"GameUI_UpdatingSteamResources" "Ενημέρωση πόρων Steam"

"GameUI_DownloadFailed"		"Αδυναμία λήψης %s1"
"GameUI_DownloadFailedZeroLen"		"Αδυναμία λήψης %s1:\nΤο αρχείο δεν περιέχει δεδομένα"
"GameUI_DownloadFailedConClosed"	"Αδυναμία λήψης %s1:\nΗ σύνδεση τερματίστηκε από τον απομακρυσμένο διακομιστή"
"GameUI_DownloadFailedBadURL"		"Αδυναμία λήψης %s1:\nΜη έγκυρη διεύθυνση"
"GameUI_DownloadFailedBadProtocol"	"Αδυναμία λήψης %s1:\nΜόνο HTTP υποστηρίζεται"
"GameUI_DownloadFailedCantBind"		"Αδυναμία λήψης %s1:\nΑδυναμία καθορισμού υποδοχής"
"GameUI_DownloadFailedCantConnect"	"Αδυναμία λήψης %s1:\nΑδυναμία σύνδεσης στον διακομιστή"
"GameUI_DownloadFailedNoHeaders"	"Αδυναμία λήψης %s1:\nΑδυναμία λήψης πληροφοριών αρχείου από διακομιστή"
"GameUI_DownloadFailedFileNotFound"	"Αδυναμία λήψης %s1:\nΤο αρχείο δεν υπάρχει"

"GameUI_CurrentPlayers"		"ΣΙΓΑΣΗ ΠΑΙΚΤΩΝ"
"GameUI_LoadingFilename"	"Γίνεται φόρτωση %s1…"

"GameUI_EventList"		"Λίστα συμβάντων"
"GameUI_EditDirectorCommand"	"Επεξεργασία εντολής κάμερας"

"GameUI_GetTime"		"Λήψη ώρας"
"GameUI_GetView"		"Λήψη προβολής"
"GameUI_Add"			"Προσθήκη"
"GameUI_Remove"			"Αφαίρεση"
"GameUI_Modify"			"Τροποποίηση"
"GameUI_Goto"			"Μετάβαση"
"GameUI_Events"			"Συμβάντα"
"GameUI_Save"			"Αποθήκευση"
"GameUI_Time"			"Χρόνος"

"GameUI_CPUPlayerOptions"	"Επιλογές CPU παίκτη"

"GameUI_MediumBitDepth"		"Μεσαία (16 bit)"
"GameUI_HighBitDepth"		"Υψηλή (32 bit)"

"GameUI_PrecachingResources"	"Ελευθέρωση μνήμης για πόρους…"
"GameUI_LoadingSecurityModule"	"Φόρτωση υπομονάδας ασφαλείας…"
"GameUI_SecurityModule"		"Υπομονάδα ασφάλειας"
"GameUI_DownloadingSecurityModule"	"Λήψη υπομονάδας ασφάλειας"
"GameUI_ErrorLoadingSecurityModule"	"Σφάλμα φόρτωσης υπομονάδας ασφάλειας."
"GameUI_FailedDownloadSecurityModule"	"Αποτυχία λήψης υπομονάδας ασφάλειας."
"GameUI_ServerConnectionTimeout"	"Η προθεσμία σύνδεσης στον διακομιστή έληξε.\n"
"GameUI_ServerConnectionFailedBadPassword"	"Απορρίφθηκε η σύνδεση στον διακομιστή παιχνιδιού.\nΤο συνθηματικό που εισαγάγατε ήταν λάθος."

"GameUI_SaveGame_NewSavedGame"	"Νέα αποθήκευση"
"GameUI_SaveGame_NewSave"	"Νέα αποθήκευση"
"GameUI_SaveGame_New"		"Νέα"
"GameUI_SaveGame_Current"	"Τρέχουσα"
"GameUI_SaveGame_Overwrite"	"Αντικατάσταση"

"GameUI_Headphones"		"Ακουστικά"
"GameUI_2Speakers"		"2 ηχεία"
"GameUI_4Speakers"		"4 ηχεία"
"GameUI_5Speakers"		"Ηχεία 5.1"
"GameUI_7Speakers"		"Ηχεία 7.1"
"GameUI_SpeakerConfiguration"	"ΔΙΑΤΑΞΗ ΗΧΕΙΩΝ"

"GameUI_NewSaveGame"			"ΝΕΑ ΑΠΟΘΗΚΕΥΣΗ"
"GameUI_ConfirmDeleteSaveGame_Title"	"ΔΙΑΓΡΑΦΗ ΑΠΟΘΗΚΕΥΣΗΣ;"
"GameUI_ConfirmDeleteSaveGame_Info"	"Θέλετε να διαγράψετε αυτήν την αποθήκευση;\nΘα διαγραφεί οριστικά."
"GameUI_ConfirmDeleteSaveGame_OK"	"Διαγραφή"
"GameUI_ConfirmOverwriteSaveGame_Title"	"ΑΠΟΘΗΚΕΥΣΗ"
"GameUI_ConfirmOverwriteSaveGame_Info"	"Θέλετε να αντικαταστήσετε την τρέχουσα αποθήκευση;"
"GameUI_ConfirmOverwriteSaveGame_OK"	"Αντικατάσταση"
"GameUI_SavingWarning"			"Αποθήκευση περιεχομένου.\nΜην απενεργοποιήσετε την κονσόλα σας."
"GameUI_GameSaved"			"Το παιχνίδι αποθηκεύτηκε"
"GameUI_AutoSave_Console_Explanation"	"Αυτό το παιχνίδι χρησιμοποιεί ένα σύστημα αυτόματης αποθήκευσης που θα αποθηκεύει περιοδικά την πρόοδό σας χωρίς προειδοποίηση. Μην απενεργοποιήσετε το Xbox σας κατά τη διάρκεια μιας αυτόματης αποθήκευσης."

"GameUI_ConfirmLoadGame_Title"	"ΦΟΡΤΩΣΗ"
"GameUI_LoadWarning"		"Θέλετε σίγουρα να φορτώσετε την αποθήκευση;\nΗ μη αποθηκευμένη πρόοδός σας θα χαθεί."
"GameUI_ConfirmNewGame_Title"	"ΝΕΟ ΠΑΙΧΝΙΔΙ"
"GameUI_NewGameWarning"		"Θέλετε σίγουρα να εκκινήσετε ένα νέο παιχνίδι;\nΗ μη αποθηκευμένη πρόοδός σας θα χαθεί."

"GameUI_RandomMap"		"< Τυχαίος χάρτης >"
"GameUI_RetryingConnectionToServer"	"Προσπάθεια επανασύνδεσης στον διακομιστή…"
"GameUI_RetryingConnectionToServer2"	"Προσπάθεια επανασύνδεσης στον διακομιστή (2)…"
"GameUI_RetryingConnectionToServer3"	"Προσπάθεια επανασύνδεσης στον διακομιστή (3)…"
"GameUI_CouldNotContactGameServer"	"Αποτυχία σύνδεσης με διακομιστή παιχνιδιού."
"GameUI_RefreshLogin_InfoTicketExpired"	"Η συνεδρία σας στο Steam έληξε.\nΕισαγάγετε ξανά το συνθηματικό σας για να συνεχίσετε."
"GameUI_RefreshLogin_UserName" 	"Λογαριασμός"
"GameUI_RefreshLogin_Password"	"Συνθηματικό"
"GameUI_RefreshLogin_Login"		"Σύνδεση"
"GameUI_RefreshLogin_Cancel"	"Ακύρωση"
"GameUI_RefreshLogin"		"Ανανέωση σύνδεσης"
